lat lon size bulge/disk flux redshift e1 e2 gamma1 gamma2
-0.35016 0.379122 19.1552 196.233 0.0397526 0.0316277 0.505157 -0.0683628 0.0 0.0
0.347807 0.0190347 15.1168 181.834 0.0202916 0.0376736 -0.0254529 0.101343 0.0 0.0
-0.426964 -0.480695 11.1283 284.146 0.0178985 0.0392408 -0.439825 0.0637585 0.0 0.0
-0.145621 0.180029 8.34219 65.5895 0.0365183 0.049912 -0.0800713 -0.0230824 0.0 0.0
-0.129278 0.49278 16.4837 295.493 0.0410894 0.0503613 0.00497534 -0.0490093 0.0 0.0
0.274639 -0.162837 29.7317 174.462 0.0197889 0.0506093 0.506379 -0.136524 0.0 0.0
-0.477495 0.00177821 9.4258 179.24 0.0163643 0.0514492 0.0407088 0.0322157 0.0 0.0
0.265002 0.213103 16.2262 96.8308 0.0195173 0.0545116 0.221159 -0.146509 0.0 0.0
-0.0565737 -0.295789 7.40013 23.0092 0.0139023 0.0561001 -0.0384493 -0.273422 0.0 0.0
-0.299086 0.342515 9.0538 3.4479 0.0182278 0.056148 0.315556 -0.311572 0.0 0.0
0.0341459 -0.41499 9.02088 29.4306 0.0106664 0.065634 -0.0711376 0.0490302 0.0 0.0
-0.263977 0.448223 9.66486 51.0517 0.0126815 0.0661194 0.042039 0.00960836 0.0 0.0
0.357265 -0.25928 5.56632 8.94372 0.0164396 0.0712727 0.204289 0.0872529 0.0 0.0
0.397791 0.135709 4.66879 10.195 0.0154181 0.0718018 -0.0405133 0.0165284 0.0 0.0
-0.422027 -0.0165511 14.1943 31.5371 0.0246515 0.07198 0.332144 0.0150851 0.0 0.0
-0.0882522 -0.361895 2.38557 78.0072 0.0221582 0.0757901 -0.181579 0.128716 0.0 0.0
-0.262504 0.212969 9.30021 16.3752 0.0156955 0.0877515 -0.192346 -0.0762285 0.0 0.0
0.209632 -0.198886 7.37429 22.9804 0.0284201 0.0884202 0.13956 0.0848954 0.0 0.0
0.220165 0.171801 8.17432 102.575 0.0138924 0.0888004 0.0996038 -0.12946 0.0 0.0
0.303999 -0.171619 6.17788 305.343 0.0137066 0.0898725 0.00900947 0.036555 0.0 0.0
-0.422648 0.135857 10.8985 79.9587 0.0195254 0.0903609 0.202387 0.227736 0.0 0.0
-0.0878739 -0.113966 4.64175 68.1946 0.0150594 0.0961806 -0.0980079 -0.433846 0.0 0.0
0.454181 -0.182114 11.5933 7.60345 0.0415409 0.0985302 0.00930501 0.525648 0.0 0.0
-0.095609 -0.0870061 5.40806 11.1941 0.0106475 0.0987899 0.25274 0.119697 0.0 0.0
-0.0880778 -0.0319586 8.42246 16.9601 0.02732 0.0989978 0.416102 0.215274 0.0 0.0
-0.0547915 0.284288 5.8439 153.848 0.0399857 0.099034 -0.224171 -0.00341893 0.0 0.0
-0.101891 -0.332122 6.71289 83.5973 0.0472383 0.0992162 -0.0225687 0.268452 0.0 0.0
-0.0384914 -0.222867 5.54667 31.7532 0.0146814 0.099367 -0.216081 -0.280903 0.0 0.0
0.205129 -0.175667 5.61715 42.494 0.044275 0.0994709 0.305972 -0.0469791 0.0 0.0
0.358205 0.0412771 9.16753 29.6051 0.0120259 0.0995327 -0.244701 -0.115411 0.0 0.0
-0.493502 -0.302419 10.6875 97.8645 0.0100678 0.100421 0.201871 0.542222 0.00123739 0.040406
0.42728 0.058331 2.46718 8.74863 0.0125695 0.103011 0.430036 0.369113 -0.000928235 8.80121e-05
0.0689939 -0.0642301 5.00964 287.031 0.0127165 0.103623 -0.107462 0.0744214 -0.000330434 -0.00221763
0.24995 -0.486398 13.264 289.332 0.0196321 0.103876 -0.10822 0.0827036 -0.00159118 0.00102717
-0.367162 -0.409908 2.4969 287.468 0.0158577 0.104159 0.120776 0.281612 0.00217325 -0.00112279
-0.212787 0.414871 7.86669 24.6075 0.0130569 0.107414 -0.141238 -0.306922 -0.00181137 -0.00672671
0.411331 0.460628 4.11031 15.4008 0.0157302 0.112529 -0.0365039 -0.522382 0.00096888 0.000782539
-0.361624 0.402933 5.89541 31.2354 0.0163913 0.116181 -0.224876 -0.399442 0.00140871 0.00421522
-0.478029 -0.0480001 11.4655 12.604 0.0360132 0.116393 0.0142863 0.128103 -0.0042944 -0.0153079
-0.0232873 0.232744 4.74672 17.1613 0.0143727 0.116587 -0.0393111 -0.327195 -0.00100912 -0.00458779
0.223211 0.164314 5.3512 30.453 0.0361624 0.117652 0.301751 0.0694897 -0.00891139 0.00657544
0.330032 0.264908 5.4665 55.1999 0.018836 0.122068 -0.0438966 -0.0715316 0.00705244 0.011345
0.391499 0.499244 9.05074 23.3527 0.0120273 0.122723 -0.336166 0.157479 0.000213128 -0.000651462
-0.213618 -0.0205815 8.29394 26.084 0.0111417 0.126073 0.261873 0.217913 0.00122059 -0.00330421
-0.211827 -0.0211958 6.9768 102.515 0.0413159 0.126122 0.177384 0.208333 0.00160058 0.000148804
-0.205331 -0.132387 6.82355 15.8008 0.0171294 0.126334 0.469478 0.206012 0.00141002 0.000900472
-0.0885967 0.0276534 7.00341 14.5645 0.0252283 0.1272 -0.540169 0.0461674 0.000735085 -0.00107975
-0.0595291 0.160826 11.5147 2.3075 0.0171282 0.127215 0.262706 -0.612005 -0.00429569 -0.000814721
-0.320279 -0.0183256 4.92027 89.1251 0.0121717 0.128408 0.110508 0.0301511 -9.26269e-05 -0.000619243
0.119924 -0.189157 5.63107 278.046 0.0300918 0.130193 -0.0424621 -0.0300955 -0.000126 -0.00115278
0.339093 -0.0684721 5.78362 1.10889 0.0327537 0.130246 0.0689082 0.411634 -0.000622884 1.391e-05
0.153099 -0.135881 7.79739 9.91968 0.0172472 0.130252 0.0813633 -0.0214035 0.00160935 0.00145929
